Cls,IntA,IntB
1,Q14451,P04626
1,P00558,P04406
1,P60891,P11908
1,Q14451,Q05397
1,Q70CQ1,Q96FJ0
1,Q70CQ1,P40939
1,O14519,O95983
1,O14519,Q9BTC8
1,P31949,P19338
1,P46940,O95793
1,O14519,Q14839
1,P04626,P15309
1,Q14562,Q9BZJ0
1,Q15208,Q70IA6
1,Q15208,Q9H8S9
1,O00213,Q12800
1,O00213,O94985
1,P04626,Q16543
1,Q12962,Q16514
1,Q12962,Q9UPT9
1,P78352,Q92796
1,Q99741,P24941
1,P78352,P08588
1,O75553,P98155
1,P78352,Q15303
1,Q12962,Q92830
1,Q01167,O75386
1,Q86Y82,P16452
1,Q9Y294,Q8TEX9
1,Q9Y294,Q9Y6J0
1,P78352,Q8N2Q7
1,Q86Y82,P63027
1,P10242,Q9H2X6
1,Q9Y294,Q5UIP0
1,O75306,O75251
1,O75306,Q9BQ95
1,P78352,Q05586
1,Q70EL4,Q9HA64
1,P51398,P03372
1,P78352,Q9P021
1,P78352,P22459
1,P78317,Q96B02
1,Q9UGM3,Q8IWL2
1,Q9BQG0,O00567
1,Q9BQG0,P06748
1,Q16543,Q9UHD2
1,Q16543,Q14164
1,Q16543,Q7L3B6
1,Q16543,O00141
1,O00459,P42338
1,Q9NXF1,Q8IY92
1,Q16543,Q13233
1,O00459,P19320
1,Q16543,P49768
1,Q16543,Q96GD4
1,Q9NQ50,Q9H2W6
1,P11177,P08559
1,Q9HAU4,O95630
1,Q9HAU4,P68036
1,Q9NQU5,P03372
1,Q71F23,Q96H22
1,O75928,Q14765
1,O75928,Q7Z6Z7
1,Q96N67,Q96II8
1,Q9UJM3,P63104
1,P20336,Q86UR5
1,P25942,O00141
1,P25942,Q9Y4E8
1,P25942,Q8NEW0
1,P25942,Q92504
1,Q96L73,P10276
1,Q9NRD5,Q14832
1,Q9NRD5,P52799
1,O94906,Q9NX01
1,Q9NRD5,P42262
1,Q9NRD5,Q13002
1,Q92887,Q5T2W1
1,Q9NRD5,P23975
1,Q15020,O43172
1,Q15020,Q9Y4Z0
1,Q9H9F9,Q9C086
1,Q9H9F9,Q53TQ3
1,Q9H981,Q53TQ3
1,P50750,Q96MH2
1,Q86UR5,O15083
1,P50750,P51825
1,Q9UGL1,O00257
1,P50750,O00472
1,P60866,P62269
1,P60866,P15880
1,Q13555,O94966
1,Q14257,Q8IZT6
1,P19532,P15121
1,P19532,P63173
1,P19484,O75030
1,P22681,Q9H6Q3
1,P22681,Q8WU20
1,P20674,P00395
1,P48382,P33076
1,O75489,P03915
1,O75489,P03886
1,Q12846,Q8NFX7
1,P22681,O00159
1,Q12846,O15400
1,Q12981,Q9P2W9
1,Q8NEC5,Q9P0X4
1,P20338,P51149
1,P22681,Q04917
1,O43678,O43920
1,P06241,P25445
1,O00483,P56556
1,P56556,O43920
1,P15498,P16471
1,Q96T51,Q8WXA3
1,P10588,Q15777
1,P06241,P02751
1,Q9H1K0,Q9NZN3
1,P20339,Q13671
1,P15498,Q9H0H5
1,P20339,Q9UJ41
1,P15498,P00519
1,O43521,Q92843
1,P19174,P10721
1,O43521,Q96FJ2
1,P19174,Q16288
1,Q14457,Q99570
1,P15172,P11802
1,P19174,Q9Y4H2
1,P15172,P15923
1,P19174,Q13094
1,Q9H9B1,Q99549
1,Q14318,O94966
1,P15172,P50461
1,Q3SYG4,Q9NQ48
1,Q14318,P62191
1,P15172,Q06413
1,P15172,O00458
1,Q13286,Q9UBX3
1,P20340,Q9UI14
1,Q9BQ95,P03905
1,P19174,O60674
1,Q9UI14,P62834
1,Q9H6D7,Q9NVX0
1,Q9UI14,Q00765
1,Q8IUD2,Q6IBS0
1,Q00653,O00571
1,Q00653,Q9UKB1
1,P28482,P51812
1,Q14203,O00399
1,P28482,Q16539
1,Q07812,Q92843
1,O95235,Q96GD4
1,Q07812,P12956
1,Q16548,P55957
1,P38606,Q9Y5K8
1,P28482,Q13115
1,Q14197,Q9NUL7
1,P61020,Q8TB24
1,P28482,Q16690
1,P28482,P30086
1,P28482,P50616
1,Q14197,Q7Z7F7
1,Q7Z6J0,P31751
1,Q01658,Q16649
1,Q9HAW0,Q8TEX9
1,P61225,Q9Y4G8
1,Q8N5N7,Q8IXM3
1,P21333,Q8WUP2
1,P21333,P35462
1,Q9HAW0,P57088
1,P28482,P05412
1,Q8N5N7,Q9BYC9
1,Q8N5N7,Q9NVS2
1,P28482,P46531
1,Q99728,Q05048
1,P36897,P10909
1,Q99728,P38398
1,Q9BYD2,Q9BYC8
1,Q9BYD2,Q9P015
1,Q9Y5Q9,Q9Y5Q8
1,Q9Y5Q9,Q8WUA4
1,Q9BYD3,Q5T653
1,Q9BYD6,P52815
1,Q9BYD3,Q9Y3B7
1,Q8IYI6,Q96KP1
1,P50747,O00763
1,P53990,Q9Y6W3
1,O60506,Q9NQ94
1,O60506,P09651
1,O60506,P03372
1,P63167,Q14204
1,P43405,P06241
1,P43405,P30273
1,Q9H5I1,Q9BXL8
1,P43405,O00241
1,P43405,P36888
1,P63167,Q8TD19
1,Q15464,P43403
1,Q15464,P52333
1,Q13136,Q9UNL4
1,Q9BZ95,P09017
1,Q15464,O43561
1,P52799,P49796
1,P05161,P41226
1,P07814,P23508
1,Q14204,O14576
1,P61978,P67809
1,P61978,Q96PU8
1,Q9NYP9,Q6P0N0
1,Q9UBS4,Q13418
1,P54136,P19320
1,P61978,P62993
1,P61962,Q9HCM7
1,Q06609,Q14565
1,Q8WXA9,Q01130
1,Q9Y2I2,Q9HCJ2
1,Q06609,P38398
1,P52948,Q7Z589
1,Q06609,Q9Y5L4
1,Q06609,Q99728
1,P61978,P26368
1,Q13239,P43403
1,Q7L2Z9,Q9NSP4
1,P51587,Q92831
1,Q9BU64,Q9NSP4
1,Q13838,Q9Y3Y2
1,Q14289,Q05209
1,Q8WUI4,Q06413
1,Q9UIM3,Q8WVL7
1,Q14289,Q9BZ71
1,Q86X55,Q04206
1,Q8WV22,Q96MF7
1,Q14289,P06241
1,P55735,Q8WUM0
