Class,IntA,IntB
0,P53597,Q16254
0,P53597,P06746
0,P53597,Q5T6S3
0,P53597,Q9NQ33
0,P53597,Q9Y6W3
0,P53597,P35548
0,P53597,P40617
0,P53597,P28702
0,P53597,P55317
0,P53597,O15156
0,P53597,P13631
0,P53597,Q9Y294
0,P53597,P14678
0,P53597,Q13569
0,P53597,Q99990
0,P53597,Q96T60
0,P53597,Q9UBK2
0,P53597,Q02556
0,P53597,Q9BSM1
0,P53597,O43248
0,P53597,P19387
0,P53597,Q01196
0,P53597,P28698
0,P53597,Q8IZL9
0,P53597,Q9HCU8
0,P53597,P19447
0,P53597,Q01094
0,P53597,P25208
0,P53597,P17405
0,P53597,O14862
0,P53597,O75529
0,P53597,Q6UN15
0,P53597,Q15596
1,P53597,Q7LBR1
0,Q13794,P17535
0,Q13794,O60508
0,Q13794,P10244
0,Q13794,P62875
0,Q13794,Q12824
0,Q13794,Q96QR8
0,Q13794,O15525
0,Q13794,Q13416
0,Q13794,P84103
0,Q13794,Q9Y6P5
0,Q13794,O75529
0,Q13794,P01100
0,Q13794,P61964
0,Q13794,Q8IUM7
0,Q13794,Q13889
0,Q13794,Q02556
0,Q13794,Q9UKI8
0,Q13794,Q8WZ19
0,Q13794,P08651
0,Q13794,Q9UNY5
0,Q13794,Q01081
0,Q13794,P17010
0,Q13794,Q9Y294
0,Q13794,Q16777
0,Q13794,P52945
0,Q13794,Q03701
0,Q13794,Q96I25
0,Q13794,Q05952
0,Q13794,Q06330
0,Q13794,Q49A26
0,Q13794,P34059
0,Q13794,P62306
0,Q13794,Q16695
0,Q13794,Q96FI4
0,Q9Y295,Q15916
0,Q9Y295,O94953
0,Q9Y295,P41229
0,Q9Y295,Q92925
0,Q9Y295,P28715
0,Q9Y295,Q8TDY2
0,Q9Y295,Q9UBU8
0,Q9Y295,P17481
0,Q9Y295,P54803
0,Q9Y295,Q9NVP2
0,Q9Y295,Q5MJ70
0,Q9Y295,Q12873
0,Q9Y295,Q96DT0
0,Q9Y295,Q9H4I2
0,Q9Y295,P61964
0,Q9Y295,O15178
0,Q9Y295,P13349
0,Q9Y295,Q16666
0,Q9Y295,Q5VVJ2
0,Q9Y295,Q8TAT5
0,Q9Y295,P26368
0,Q9Y295,P0C0S8
0,Q9Y295,P41161
0,Q9Y295,Q15029
0,Q9Y295,O43929
0,Q9Y295,P47902
0,Q9Y295,Q96BN2
0,Q9Y295,Q14188
0,Q9Y295,P20265
0,Q9Y295,Q8N5F7
0,Q9Y295,Q9Y5P8
0,Q9Y295,Q02241
0,Q9Y295,P24928
1,Q9Y295,P04632
1,Q9Y295,P17542
1,Q9Y295,Q9H446
1,Q9Y295,P12980
0,Q49AM1,P15036
0,Q49AM1,O00267
0,Q49AM1,Q15466
0,Q49AM1,Q8WYA6
0,Q49AM1,O43684
0,Q49AM1,Q9Y6W3
0,Q49AM1,Q96N77
0,Q49AM1,Q16520
0,Q49AM1,Q7Z7J5
0,Q49AM1,P84103
0,Q49AM1,Q96JN0
0,Q49AM1,Q9HB65
0,Q49AM1,Q8WZ19
0,Q49AM1,P83876
0,Q49AM1,Q8IU81
0,Q49AM1,P36954
0,Q49AM1,Q03052
0,Q49AM1,Q9NS39
0,Q49AM1,Q6ZRS2
0,Q49AM1,O76039
0,Q49AM1,P15407
0,Q49AM1,P35475
0,Q49AM1,Q13950
0,Q49AM1,Q92830
0,Q49AM1,Q5VWG9
0,Q49AM1,Q00056
0,Q49AM1,P38571
0,Q49AM1,P62314
0,Q49AM1,Q9UHG3
0,Q49AM1,P55157
0,Q8N142,Q15723
0,Q8N142,P18846
0,Q8N142,Q16520
0,Q8N142,P14678
0,Q8N142,Q12873
0,Q8N142,Q9HB65
0,Q8N142,Q9UJA3
0,Q8N142,Q15911
0,Q8N142,P18858
0,Q8N142,P23527
0,Q8N142,Q96BN2
0,Q8N142,Q04726
0,Q8N142,Q96SD1
0,Q8N142,Q04725
0,Q8N142,P31942
0,Q8N142,Q9Y4A5
0,Q8N142,O75503
0,Q8N142,O95751
0,Q8N142,Q92989
0,Q8N142,Q02539
0,Q8N142,P53999
0,Q8N142,P17482
0,Q8N142,P17861
0,Q8N142,P28069
0,Q8N142,Q12986
0,Q8N142,Q68CP9
0,Q8N142,Q6W2J9
0,Q8N142,P26599
0,Q8N142,Q9UBE0
0,Q8N142,O75132
0,P13798,P51826
0,P13798,P01106
0,P13798,Q13362
0,P13798,P23511
0,P13798,P19388
0,P13798,Q9Y675
0,P13798,Q9ULV3
0,P13798,Q6ZRS2
0,P13798,Q99729
0,P13798,Q96MH2
0,P13798,Q9BTC8
0,P13798,P40617
0,P13798,O75643
0,P13798,Q06330
0,P13798,P31277
0,P13798,Q16520
0,P13798,O43543
0,P13798,O75478
0,P13798,Q13285
0,P13798,Q9UI36
0,P13798,P54803
0,P13798,Q15596
0,P13798,Q9UHL9
0,P13798,Q00688
0,P13798,O60682
0,P13798,P17010
0,P13798,Q16777
0,P13798,P23193
0,P13798,Q6UN15
0,P13798,Q9UJA3
0,P13798,Q15475
1,P13798,Q0P6H9
1,P13798,P53990
1,P13798,Q9GZZ9
0,Q16643,Q15415
0,Q16643,Q9H5J8
0,Q16643,P10828
0,Q16643,P82970
0,Q16643,Q9UMQ3
0,Q16643,Q9NZI6
0,Q16643,Q5VVJ2
0,Q16643,P34059
0,Q16643,O43781
0,Q16643,Q96KN3
0,Q16643,O94916
0,Q16643,P58304
0,Q16643,Q9NVU0
0,Q16643,Q92922
0,Q16643,P10914
0,Q16643,Q8IXF0
0,Q16643,P28698
0,Q16643,P0DJD3
0,Q16643,P28358
0,Q16643,Q8IY57
0,Q16643,P06899
1,Q16643,Q6XZF7
1,Q16643,O00267
1,Q16643,P07737
1,Q16643,Q9NSB8
1,Q16643,Q6KC79
0,P82664,P17535
0,P82664,P06746
0,P82664,Q8N257
0,P82664,O75607
0,P82664,Q9NVP2
0,P82664,Q9NZI6
0,P82664,P26368
0,P82664,Q06330
0,P82664,Q99877
0,P82664,Q9H211
0,P82664,Q5QJE6
0,P82664,Q99733
0,P82664,O60675
0,P82664,O43829
0,P82664,O95343
0,P82664,P24928
0,P82664,Q14186
0,P82664,O14802
0,P82664,Q14807
0,P82664,Q96SD1
0,P82664,P28340
0,P82664,Q9P2K5
0,P82664,P54821
0,P82664,P16402
0,P82664,O00712
0,P62495,P26583
0,P62495,Q15723
0,P62495,Q9NR56
0,P62495,O43365
0,P62495,Q9HBE1
0,P62495,P54803
0,P62495,O75486
0,P62495,Q9GZZ0
0,P62495,P49716
0,P62495,Q9NVP2
0,P62495,O00754
0,P62495,P16383
0,P62495,P78549
0,P62495,Q03181
0,P62495,O75478
0,P62495,P06899
0,P62495,P29084
0,P62495,Q9NX01
