Class,IntA,IntB
1,P21860,O00459
1,P21860,Q13882
1,P21860,P49798
1,P21860,O14511
1,P21860,Q9H4P4
1,P21860,P15941
1,P21860,P42336
1,P21860,P68366
1,O00459,O00329
1,O00459,P10747
1,O00459,Q15303
1,O00459,P09603
1,O00459,P42336
1,Q13882,P23246
1,P49798,P35606
1,O14511,Q15303
1,Q9H4P4,Q15303
1,Q9H4P4,Q99614
1,Q9H4P4,Q9NWX5
1,P15941,P12931
1,P15941,P14923
1,P15941,P49841
1,P42336,P01112
1,P68366,P30622
1,Q05397,P43405
1,Q05397,P12931
1,Q05397,P42224
1,Q05397,P05106
1,Q05397,P51813
1,Q05397,O43639
1,Q05397,P49841
1,Q05397,Q14511
1,Q05397,P41240
1,Q05397,P43146
1,Q05397,P60484
1,P43405,P12931
1,P43405,P06239
1,P43405,P09769
1,P43405,O43561
1,P43405,P40259
1,P43405,P16885
1,P43405,P52735
1,P43405,P12318
1,P43405,P20273
1,P43405,Q8TF42
1,P43405,Q9UHP3
1,P43405,P36888
1,P12931,P16070
1,P12931,Q15464
1,P12931,P61978
1,P12931,P18433
1,P12931,Q16832
1,P12931,P98172
1,P12931,P42224
1,P12931,Q03135
1,P12931,Q13177
1,P12931,P03891
1,P12931,Q9ULV8
1,P12931,P07550
1,P12931,P25098
1,P12931,O15111
1,P12931,Q92731
1,P12931,P14921
1,P12931,P41240
1,P12931,P10275
1,P12931,P46527
1,P12931,P12814
1,P12931,P20823
1,P12931,P25963
1,P12931,P12830
1,P12931,Q14185
1,P12931,P27540
1,P12931,Q01973
1,P12931,P08235
1,P42224,P29597
1,P42224,P19525
1,P42224,Q00597
1,P42224,P52630
1,P42224,P78347
1,P42224,P17706
1,P42224,Q6UWB1
1,P42224,P01100
1,P42224,Q00978
1,P42224,P51532
1,P05106,P07996
1,P51813,Q03135
1,P51813,Q8WXA3
0,P51813,Q9P0L9
1,O43639,P98172
1,O43639,P52799
1,O43639,Q14155
1,O43639,P61978
1,O43639,Q16620
1,O43639,Q13153
1,O43639,Q16513
1,O43639,P07766
1,O43639,Q14185
1,O43639,Q9NZQ3
1,O43639,Q9NQC3
1,O43639,O00401
1,O43639,Q14161
1,O43639,Q15052
1,O43639,Q96P48
1,O43639,Q13177
1,O43639,Q7L576
1,P49841,P10275
1,P49841,Q96QU8
1,P49841,Q13144
1,P49841,O75474
1,P49841,P24864
1,P49841,P31751
1,P49841,Q9NZI8
1,P49841,O95278
1,P49841,P08670
1,Q14511,Q8TDZ2
1,P41240,P61978
1,P41240,P42685
1,P41240,P49407
1,P41240,Q9Y2R2
1,P41240,P08575
1,P43146,P10275
1,P60484,P10275
1,P60484,P46934
1,P60484,Q03135
1,P60484,Q9H0M0
1,P60484,Q15599
1,P60484,Q5TCQ9
1,P60484,P42685
1,P60484,P11142
1,P60484,Q14764
1,P60484,Q86UL8
1,P60484,Q9UJX3
1,P60484,Q9BT67
1,P31947,Q9H0H5
1,P31947,P63104
1,P31947,P56524
1,P31947,Q04912
1,P31947,O75592
1,P31947,Q92934
1,P31947,Q96QZ7
1,P31947,Q8WUI4
1,P31947,Q96PU5
1,P31947,Q9Y446
1,P31947,P33176
1,P31947,Q14258
1,P31947,O00444
1,P31947,Q6P4F7
1,P31947,Q5T5U3
1,P31947,Q12774
1,P31947,Q9H2C0
1,P31947,Q86W92
1,P31947,P17706
1,P31947,P26045
1,P31947,P61587
1,P31947,O60292
1,P31947,Q08AE8
1,P31947,Q9UQ35
1,P31947,P78524
1,P31947,Q8IZW8
1,P31947,Q6ICG6
1,P31947,Q96IF1
1,Q9H0H5,P52198
1,Q9H0H5,Q96GD4
1,Q9H0H5,Q96RN1
1,P63104,Q9P0K1
1,P63104,P61587
1,P63104,P61978
1,P63104,P78527
1,P63104,Q12802
1,P63104,P21580
1,P63104,P08670
1,P63104,P07359
1,P63104,P53667
1,P63104,P49796
1,P63104,Q92934
1,P63104,P56524
1,P63104,Q13671
1,P63104,O75628
1,P63104,Q04912
1,P63104,P06733
1,P63104,Q9Y2K2
1,P63104,P13224
1,P63104,P32927
1,P63104,Q14978
1,P63104,Q9P0K7
1,P63104,Q96F86
1,P63104,P62899
1,P63104,P14866
1,P63104,Q6ICG6
1,P63104,P23258
1,P63104,O75592
1,P63104,P02545
1,P63104,P06748
1,P63104,P09651
1,P63104,P18206
1,P63104,P23396
1,P63104,P46937
1,P63104,P55072
1,P63104,P60709
1,P63104,Q13625
1,P63104,Q15154
1,P63104,Q16658
1,P63104,Q86W92
1,P63104,Q8WUI4
1,P63104,Q96PU5
1,P63104,P13612
1,P63104,P35579
1,P63104,P30793
1,P63104,Q8WXG6
1,P63104,Q9NYF3
1,P63104,Q13111
1,P63104,P12956
1,P56524,Q96EB6
1,P56524,P37231
1,P56524,P10275
1,P56524,Q16665
1,P56524,O15379
1,P56524,Q9Y618
1,P56524,O75376
1,P56524,Q06413
1,P56524,P13056
1,P56524,P61956
1,P56524,Q9UKV0
1,P56524,Q96RE7
1,P56524,Q9H9E1
1,P56524,O14593
1,P56524,Q13557
1,Q04912,P26927
1,O75592,Q16611
1,O75592,Q5U5Q3
1,Q92934,Q15418
1,Q92934,Q07820
1,Q92934,Q07817
1,Q92934,Q16548
1,Q92934,Q92843
1,Q92934,Q07812
1,Q96QZ7,P98164
1,Q96QZ7,P12830
1,Q96QZ7,O43707
1,Q8WUI4,O15379
1,Q8WUI4,Q15139
1,Q8WUI4,Q9Y618
1,Q8WUI4,O75376
1,Q8WUI4,Q06413
1,Q8WUI4,Q9BZL6
1,Q96PU5,O15105
1,Q96PU5,Q9H4A3
1,Q9Y446,Q02413
1,P33176,O00161
0,Q14258,P28221
1,Q9H2C0,P22314
1,Q86W92,Q13136
1,P17706,Q9Y5K5
1,P17706,P62191
1,P26045,P55072
1,P26045,Q8TBC3
1,P26045,Q8TAA9
1,P26045,Q9UQ35
1,P61587,Q13017
1,P61587,O43157
1,Q9UQ35,Q92731
1,Q9UQ35,Q16611
1,Q9UQ35,Q15287
1,Q9UQ35,Q8IYB3
1,Q9UQ35,Q9BXB5
0,Q8IZW8,Q6UXZ3
0,Q8IZW8,Q8TDN1
0,Q8IZW8,Q9P0L9
0,Q8IZW8,P28221
1,P78352,P28223
1,P78352,P98164
1,P78352,P08588
1,P78352,Q16478
1,P78352,Q15303
1,P78352,P33402
1,P78352,P63167
1,P78352,O14964
1,P78352,Q8N2Q7
1,P78352,Q9P1A6
1,P78352,Q9HAP6
1,P78352,Q13224
1,P78352,Q13002
1,P78352,Q9P021
1,P78352,P22459
1,P78352,Q9P0K1
1,P98164,O75553
1,P98164,Q5SW96
1,P98164,P09455
1,P98164,Q9P2M1
1,P98164,Q9H9E1
1,P98164,O14908
1,P08588,Q5TCQ9
1,P08588,O14908
1,P08588,P49407
1,P08588,Q86UL8
1,Q16478,O43424
1,Q16478,Q13002
1,Q15303,P42229
1,Q15303,P46937
1,P33402,Q14160
1,P63167,Q13153
1,P63167,Q14204
1,P63167,P25963
1,P63167,Q8TD19
1,P63167,Q86UE8
1,P63167,Q6P1L5
1,P63167,Q5VZL5
1,O14964,Q13153
1,O14964,P49407
1,O14964,Q92783
1,O14964,P22314
1,O14964,P46934
1,O14964,Q99698
1,O14964,Q9UJY4
1,O14964,O43707
1,Q8N2Q7,Q9ULB1
1,Q9HAP6,Q13224
1,Q9HAP6,Q02410
1,Q13224,Q96AX9
1,O00329,P01112
0,O00329,Q9P0L9
1,P10747,O95147
1,P42229,P23458
1,P42229,Q92731
1,P42229,P08559
1,P46937,O15105
1,P46937,Q9H3D4
1,P46937,O75970
1,P46937,Q8IY63
1,P46937,Q15599
1,P46937,Q15561
1,P46937,Q15562
1,P46937,Q96G27
1,P46937,Q13625
1,P46937,Q8NI35
1,P14923,P12830
1,P14923,Q15262
1,P14923,Q02413
1,P12830,P18206
1,P12830,Q9UJX3
1,P12830,Q9UI95
1,P12830,Q9NYG5
1,P12830,O43707
1,P12830,P04264
1,P12830,P49748
1,P12830,P02545
1,Q02413,Q01804
1,Q02413,Q70EK8
1,P16070,P36897
1,P16070,Q92888
1,P16070,P06239
1,P16070,P26038
1,P16070,Q13501
1,Q15464,P43403
1,Q15464,O43561
1,P61978,Q08881
1,P61978,Q92499
1,P61978,P14866
1,P61978,P09651
1,P61978,Q9H3D4
1,P61978,P61956
1,P61978,P26368
1,P18433,P23469
1,P98172,P49796
1,Q03135,P37231
1,Q03135,P10275
1,Q03135,P10586
1,Q03135,P35243
1,Q03135,P35354
1,Q03135,P25098
1,Q03135,P24530
1,Q03135,Q14254
1,Q03135,P25116
1,Q03135,P55072
1,Q13177,Q14155
1,Q13177,O60504
1,Q13177,Q13153
1,Q13177,Q15052
1,Q13177,P53667
1,Q13177,Q14161
1,P07550,Q15599
1,P07550,P62826
1,P07550,P62873
1,P07550,Q8N5I2
1,P25098,P49407
1,P25098,P05771
1,P25098,Q14161
1,P25098,P30556
1,P25098,P62873
1,O15111,Q04206
1,O15111,Q15653
1,O15111,P25963
1,O15111,O95163
1,O15111,P78527
1,O15111,Q9Y6Q9
1,O15111,Q02246
1,O15111,P31751
1,O15111,P51617
1,O15111,Q99759
1,O15111,Q7Z406
1,O15111,Q86WI3
1,Q92731,P12814
1,Q92731,P62854
1,Q92731,Q14498
1,Q92731,Q9UBK2
1,Q92731,P35606
1,Q92731,Q9Y6Q9
1,Q92731,Q15596
1,Q92731,Q05086
1,Q92731,Q9Y2X0
1,Q92731,Q12789
1,Q92731,P82933
1,Q92731,P20930
1,Q92731,Q92621
1,Q92731,Q15393
1,Q92731,Q13243
1,P14921,P15036
1,P10275,P06400
1,P10275,P13984
1,P10275,P21333
1,P10275,O75376
1,P10275,P62826
1,P10275,Q99933
1,P10275,Q9Y6Q9
1,P10275,Q9UQ80
1,P10275,P78317
1,P10275,O95425
1,P10275,Q9BQG0
1,P10275,O75928
1,P10275,Q96PM5
1,P10275,P51843
1,P10275,Q05066
1,P10275,P41161
1,P10275,Q15596
1,P10275,Q9Y4B4
1,P10275,Q15020
1,P10275,Q9ULJ6
1,P10275,Q5THR3
1,P10275,Q9Y618
1,P10275,Q05086
1,P10275,Q99638
1,P10275,P24864
1,P10275,Q15652
1,P10275,P14859
1,P10275,P43364
1,P10275,O15379
1,P10275,O96028
1,P10275,P51531
1,P46527,P09936
1,P46527,P30279
1,P46527,P24864
1,P46527,P49427
1,P46527,P16949
1,P12814,Q15942
1,P12814,Q16512
1,P12814,Q9UBF9
1,P12814,O14908
1,P12814,Q8WZ42
1,P12814,Q15078
1,P12814,Q8WX93
1,P12814,O43707
1,P20823,Q9Y463
0,P20823,Q99250
1,P25963,Q04206
1,P25963,Q15418
1,P25963,P09651
1,P25963,O15379
1,P25963,P49407
1,P25963,P23396
1,P25963,Q15653
1,P25963,Q04864
1,P25963,O00221
1,P25963,Q9Y618
1,P25963,Q13616
1,P25963,P19838
1,P25963,O95163
1,P25963,P55072
1,P25963,P07384
1,Q14185,P84095
1,P27540,Q16665
1,P27540,Q15596
1,P27540,Q99814
1,P27540,A9YTQ3
1,P27540,Q6PJQ5
1,P36897,Q9HAU4
1,P36897,P62942
1,P36897,P01137
1,P36897,P10600
1,P36897,P37023
1,P36897,O15105
1,P36897,Q13153
1,P36897,Q9NPB6
1,P36897,P49354
0,Q92888,Q6UXZ3
0,Q92888,Q8TDN1
