Class,IntA,IntB
0,Q8NCN2,Q9BRA2
0,P14598,Q01664
0,P53667,Q9Y675
0,Q12789,Q12931
0,Q08495,Q96AZ6
0,Q08495,Q12857
0,Q9Y2D0,P31270
0,Q9Y2D0,O00321
0,P25774,P22681
0,P25774,Q96PC2
0,P33402,Q9UL17
0,P33402,Q9Y5K3
0,P33402,Q8N1G1
0,Q15327,P11586
0,Q15327,Q16543
0,Q15327,Q14894
0,Q8N183,Q9ULV3
0,Q8N183,Q96RE9
0,Q8N183,Q8WYA1
0,P10415,Q07820
0,Q9UNI6,P32322
0,P57723,O96020
0,Q9Y291,P51948
0,Q9Y291,O95990
0,Q9Y291,Q9UBD5
0,P48147,Q99594
0,O75251,O43829
0,P36402,Q8WXI4
0,P36402,Q06278
0,P36402,P25325
0,Q92598,O60508
0,Q92598,O96028
0,Q92598,P28360
0,P15036,Q9Y3D5
0,O75880,P31273
0,O75880,O60814
0,O43791,P18440
0,O15235,P51531
0,O15235,Q9Y5Q9
0,O15235,Q8WV37
0,O15235,P10243
0,Q5XKR4,O14772
0,Q92844,Q13761
0,Q92844,O75486
0,Q92844,Q8N9N8
0,Q8NI60,Q8IZL9
0,Q14469,P50225
0,Q9BYG8,Q9NYD6
0,Q9BYG8,Q8NDX5
0,P16104,Q6XUX3
0,Q9UHD2,Q9NYW8
0,Q92731,Q9Y3D3
0,Q9H0E9,Q8WWV3
0,Q9UBR1,Q16621
0,Q9UBR1,Q92949
0,Q3YBR2,Q7L0Y3
0,Q3YBR2,P51649
0,Q03111,O75897
0,O00142,Q69YI7
0,P0C0S5,P14324
0,Q16543,O95619
0,Q16543,Q9HC52
0,Q9BT17,O75528
0,Q9BT17,P19793
0,Q9BT17,O43829
0,P51826,P20807
0,P51826,P00325
0,Q96P20,P10412
0,P63279,O43504
0,P05413,Q9H7Z6
0,P05413,Q9UNP9
0,P05413,Q7Z591
0,Q07864,O43396
0,Q16851,Q13510
0,Q03164,Q9BYD1
0,P62807,P78417
0,Q14914,Q07352
0,Q14562,P42765
0,Q07617,Q9BWT3
0,Q14209,P54136
0,P15374,Q9UBU7
0,P15374,Q96BP2
0,P05089,O94763
0,P53396,Q9UL03
0,P53396,P10253
0,P53396,O43543
0,Q15102,O75529
0,P01106,P35325
0,O43680,Q13546
0,Q6UB35,Q9ULX3
0,Q6UB35,P51532
0,Q6UB35,Q64ET8
0,P50548,O14618
0,P50548,P35558
0,P55039,Q9BUL9
0,P55039,P61964
0,P55039,Q96I25
0,Q02363,Q96PC2
0,P10074,P23297
0,P10074,Q9NQI0
0,Q9UDX5,P43235
0,Q8N573,Q6UB98
0,Q8N573,P09017
0,Q9Y2T2,Q9H5F2
0,Q16143,Q9UKY1
0,P50226,P08651
0,P09630,P18085
0,P62917,Q70Z53
0,Q92698,Q9NZD4
0,Q92698,Q12933
0,P49368,O15514
0,P18615,Q16719
