Class,IntA,IntB
0,P53597,Q16254
0,P53597,P17480
0,P53597,Q5T6S3
0,P53597,Q9Y6W3
0,P53597,P35548
0,P53597,P40617
0,P53597,Q6UXN9
0,P53597,P28702
0,P53597,P55317
0,P53597,O15156
0,P53597,P13631
0,P53597,P14678
0,P53597,Q99990
0,P53597,Q96T60
0,P53597,Q9UBK2
0,P53597,Q02556
0,P53597,Q9BSM1
0,P53597,O43248
0,P53597,P14652
0,P53597,P17483
0,P53597,P19447
0,P53597,P25208
0,P53597,P17405
0,P53597,Q9NV56
0,P53597,O14862
0,P53597,O75529
0,P53597,Q6UN15
0,P53597,Q16576
0,P53597,Q6EKJ0
1,P53597,Q7LBR1
0,Q02252,O75164
0,Q02252,O94953
0,Q02252,Q15637
0,Q02252,Q05195
0,Q02252,Q14186
0,Q02252,P49848
0,Q02252,Q10587
0,Q02252,Q13568
0,Q02252,Q6FI13
0,Q02252,P07711
0,Q02252,P28702
0,Q02252,Q15475
0,Q02252,Q9BUJ2
0,Q02252,P37275
0,Q02252,Q06416
0,Q02252,Q16385
0,Q02252,Q9H611
0,Q02252,Q13426
0,Q02252,Q9Y6W3
0,Q02252,Q6STE5
0,Q02252,O95948
0,Q02252,Q9HC52
0,Q02252,P31276
0,Q02252,Q9UMQ3
0,Q02252,P0C0S8
0,Q02252,Q9NXR8
0,Q02252,P55771
0,Q02252,Q00688
0,Q02252,Q7Z591
0,Q02252,O75676
0,Q02252,Q96A08
0,Q9H9P8,Q9UDW3
0,Q9H9P8,P37231
0,Q9H9P8,Q05195
0,Q9H9P8,O15151
0,Q9H9P8,Q9Y6J0
0,Q9H9P8,P30291
0,Q9H9P8,Q9ULV5
0,Q9H9P8,P02545
0,Q9H9P8,Q16385
0,Q9H9P8,Q969S2
0,Q9H9P8,P0C7P1
0,Q9H9P8,O14862
0,Q9H9P8,P35712
0,Q9H9P8,Q9UHQ1
0,Q9H9P8,P31276
0,Q9H9P8,P17010
0,Q9H9P8,Q9UJW9
0,Q9H9P8,P25208
0,Q9H9P8,O95551
0,Q9H9P8,Q96FI4
0,Q9H9P8,Q06330
0,Q9H9P8,Q9C002
0,Q9H9P8,P14921
0,Q9H9P8,Q8WYH8
0,Q9H9P8,Q92769
0,Q9H9P8,Q969G3
0,Q49AM1,P08048
0,Q49AM1,Q8WYA6
0,Q49AM1,O43684
0,Q49AM1,Q9Y6W3
0,Q49AM1,Q16520
0,Q49AM1,Q7Z7J5
0,Q49AM1,P30291
0,Q49AM1,P84103
0,Q49AM1,P04554
0,Q49AM1,Q96JN0
0,Q49AM1,Q8WZ19
0,Q49AM1,Q06416
0,Q49AM1,P83876
0,Q49AM1,Q8IU81
0,Q49AM1,Q9NS39
0,Q49AM1,Q6ZRS2
0,Q49AM1,O76039
0,Q49AM1,P35475
0,Q49AM1,Q13950
0,Q49AM1,Q92830
0,Q49AM1,Q00056
0,Q49AM1,P38571
0,Q49AM1,P55157
0,Q8N142,O94768
0,Q8N142,Q02363
0,Q8N142,Q15723
0,Q8N142,Q69YI7
0,Q8N142,P18846
0,Q8N142,O75528
0,Q8N142,Q16520
